"Job Title","Company","Location","Salary","URL"
"Data Science Internship – Summer 2019","Walmart eCommerce","San Bruno, CA 94066","","http://www.indeed.com/rc/clk?jk=d475f1cbd00cbe96&fccid=8c49e99f20f89e48&vjs=3"
"Data Scientist - Intern","Nextdoor","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=5d25d64d91535d03&fccid=38eca8156471a9d2&vjs=3"
"Photography Assistant","University of California San Francisco","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=e6fc78e1a9b1dad4&fccid=2a341562d64c7cdb&vjs=3"
"Computer Science Development Intern","AIETA","San Francisco, CA 94107 (South Of Market area)","$15 an hour","http://www.indeed.com/rc/clk?jk=b06c2c8e788b6d2f&fccid=838e55215b8d9dd7&vjs=3"
"Data Scientist 2","Oracle","Redwood City, CA","","http://www.indeed.com/rc/clk?jk=7f12a5f2c8ead856&fccid=cd22d01053af7669&vjs=3"
"Data Scientist","Bolt","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=891c5ae5d3a7f7d3&fccid=2472edbe03e34796&vjs=3"
"Data Scientist","Plaid","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=b148d57f2806969c&fccid=f10da5bc56554201&vjs=3"
"Data Analyst","Blend Labs","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=8f7e24e7a256fcd3&fccid=c0222312b34b096a&vjs=3"
"Economist, Advertising Science","Pandora Media, Inc.","Oakland, CA","","http://www.indeed.com/rc/clk?jk=258931ce3c0ef6d1&fccid=969588d3048aa92a&vjs=3"
"Data Analyst - San Francisco Bay, California","Averna","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=cdba168634c1b4e6&fccid=4925e167fdc076db&vjs=3"
"Data Science and Analytics - Summer 2019 Internship","LendingHome","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=b35eed43bceb8f29&fccid=20c6788726ddcb5b&vjs=3"
"Data Scientist","Formation","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=39f7d4fe5761cbce&fccid=dd616958bd9ddc12&vjs=3"
"Customer Care Data Specialist","Rodan and Fields, LLC","San Francisco, CA 94103 (South Of Market area)","","http://www.indeed.com/rc/clk?jk=e35c2038628aebf9&fccid=9d8ace9981c9ff45&vjs=3"
"Software Engineer - Python","TrueAccord","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=1cd49565aee4dfa7&fccid=210bcab0885b7dd3&vjs=3"
"Onsite Coordinator","Ergeon","Hayward, CA","","http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFLW3Olgzq1AyhS8S-_L4J__MTsp5XJSQgQ5jlegEZuRov_3ExUZbJ_MW6ZWiq-LSNc6tIjiLOScCe61IVvheGuRKPeZlHc9po2ZPF_3NHtviDPPOx59aiGEMhEYX1__q1p4C1S2AI5woMvXPaUGmohJjS4ZvaIZTV_3u4FXEsBlNucjI6tcl-iiSOUNsNPjJmQsNfckeuQDe0WMnoCwPYKZDtRauFupW7jOnDf983Nan6v6jPx2rc8kCHJEwoAg3ScLSs_9pdygJ1pBIggCXRDoWIbUIhsm9yJpS1tQPtxp_xq3DrfRmRlx7uakVX-L7Lyntmjg-7uX5tM4JYAC3nEp9HwgGrPDQBkgUqpNOADt7mEW1uoLw4BLoAMxc9wHJdp2RK4F_7A_UnroJy8jCXdIvHslwRXb9xKdzDFyO-8lobn1ePeNn3IuftKZm9mA_ZYoez5dwEEdyjJ_mXJx3BBwh-rBxcaeJftyGJXK_5ohq1R2Ceokm0OhD5XUV0dTQW20DDvZUebrs5eQHilygGF_iQFh2DrCtIiUynpKQXrIhNGRY6QYziu06WzsAXoeuD0dXlDt_kS0D9STROLys8HRSVNLBKp74_zmgB7uh89CBgSgjGGp4CSmV5f4eEb9pAb8wg3PlgPceGNeu_WLypawIQmBE3B_OJ-vn3F513xIZlOvIVR9grkX8dgIMui3luoJU1AhP9qyUuYuxRWw5I7ebwY4lo06d5gOwryD2HW8WqYqw5gZ2O3m3nE1yfhDPY2UDZhMX_oKsZQnX_8X5E&vjs=3&p=3&sk=&fvj=1"
"Data Science Specialist","University of California San Francisco","San Francisco, CA 94104 (Financial District area)","","http://www.indeed.com/rc/clk?jk=d693cd79a88ec4be&fccid=2a341562d64c7cdb&vjs=3"
"Part-time instructor of Statistics for Data Science and Machine Learning","Kaplan","San Francisco, CA 94105 (Financial District area)","","http://www.indeed.com/rc/clk?jk=70ff1a8174eaf3e8&fccid=4ffdd90de5b0ef8f&vjs=3"
"Data Analytics Undergraduate Intern","Kaiser Permanente","Oakland, CA","","http://www.indeed.com/rc/clk?jk=cbb40ee3f148532f&fccid=48ecd526e3aa3225&vjs=3"
"Machine Learning","Twitter","San Francisco, CA 94103 (South Of Market area)","","http://www.indeed.com/rc/clk?jk=85c036aa0176179d&fccid=7a3824693ee1074b&vjs=3"
"Data Scientist - Machine Learning / Deep Learning Specialist","Upstart","San Carlos, CA","","http://www.indeed.com/rc/clk?jk=556068084738f75b&fccid=655c994c77232147&vjs=3"
"Software Engineer - Machine Learning","Affirm","San Francisco, CA 94126 (Financial District area)","","http://www.indeed.com/rc/clk?jk=ba51b24c9f143e6f&fccid=5cf4e54c5ef78aa7&vjs=3"
"Machine Learning Internship","Walmart eCommerce","San Bruno, CA 94066","","http://www.indeed.com/rc/clk?jk=c702774510734d66&fccid=8c49e99f20f89e48&vjs=3"
"Data Journalist","Mother Jones","San Francisco, CA 94108 (Financial District area)","","http://www.indeed.com/rc/clk?jk=0d2dd0e422b584c6&fccid=358abbca9f316ab6&vjs=3"
"Part-time instructor of Statistics for Data Science and Machine Learning","Kaplan Test Prep","San Francisco, CA 94105 (Financial District area)","","http://www.indeed.com/rc/clk?jk=64816ab722efa4e5&fccid=4ffdd90de5b0ef8f&vjs=3"
"Software Engineer, Machine Learning","Fathom Health","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=b18bece523d0add0&fccid=9e88642c8c797c72&vjs=3"
"Trulia: Machine Learning Engineer - Intern","Zillow Group","San Francisco, CA 94102 (Downtown area)","","http://www.indeed.com/rc/clk?jk=9215ba4af59ce075&fccid=913e1b259c8d65e2&vjs=3"
"Machine Learning Engineer","Scaleapi","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=a4b3f4c4ab198524&fccid=55ebd28e88790c63&vjs=3"
"Software Engineer - Machine Learning R&D","LeapYear","Berkeley, CA","","http://www.indeed.com/rc/clk?jk=a186c0b47d17a8a1&fccid=42e50b7b66ee4856&vjs=3"
"Data Scientist, Quantitative Analysis, Revenue Strategy and Operations","Google","Redwood City, CA 94063","","http://www.indeed.com/rc/clk?jk=18d0cb65cbceee77&fccid=a5b4499d9e91a5c6&vjs=3"
"Machine Learning Internship","Walmart Stores","San Bruno, CA 94066","","http://www.indeed.com/rc/clk?jk=be428ac2651aea52&fccid=822bc5d9a49270ea&vjs=3"
"Data Scientist, Deep Learning/Computer Vision","Yummly","Redwood City, CA 94063","","http://www.indeed.com/rc/clk?jk=39a84ada5b7b2d71&fccid=5c70ba888d8ca883&vjs=3"
"Data Scientist, Growth On-boarding","Twitter","San Francisco, CA 94103 (South Of Market area)","","http://www.indeed.com/rc/clk?jk=35092ac30fd7ba23&fccid=7a3824693ee1074b&vjs=3"
"Product Analyst - Consumer Data Science","Uber","San Francisco, CA 94103 (South Of Market area)","","http://www.indeed.com/rc/clk?jk=ed941f25d0a1dbf0&fccid=f766f8bfbc3effb7&vjs=3"
"Machine Learning Scientist","Clara","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=6d102eb2cf4b5db3&fccid=5e3626e6924f6f6b&vjs=3"
"Machine Learning Engineer","Twitter","San Francisco, CA 94103 (South Of Market area)","","http://www.indeed.com/rc/clk?jk=ba6de7160080cdf2&fccid=7a3824693ee1074b&vjs=3"
"Data Scientist","Esurance","San Francisco, CA 94105 (Financial District area)","","http://www.indeed.com/rc/clk?jk=20b0aca7feb12498&fccid=25cda752a689f9b8&vjs=3"
"Scientist, Machine Learning","RubrYc Therapeutics","San Ramon, CA","","http://www.indeed.com/rc/clk?jk=876fca94ef5e6efb&fccid=e15c9978061d7044&vjs=3"
"Data Scientist","Expanse","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=bb22744307fbde80&fccid=d213a8de4f971403&vjs=3"
"Data Science Internship, Summer 2019","Etsy","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=2a463131239b5d88&fccid=9ecb91618c39a24f&vjs=3"
"MACHINE LEARNING ENGINEER","AirPR","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=460159a790d57fb3&fccid=3ef6655314901dcd&vjs=3"
"Data Science Internship – Summer 2019","Walmart eCommerce","San Bruno, CA 94066","","http://www.indeed.com/rc/clk?jk=d475f1cbd00cbe96&fccid=8c49e99f20f89e48&vjs=3"
"Data Scientist - Intern","Nextdoor","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=5d25d64d91535d03&fccid=38eca8156471a9d2&vjs=3"
"Photography Assistant","University of California San Francisco","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=e6fc78e1a9b1dad4&fccid=2a341562d64c7cdb&vjs=3"
"Computer Science Development Intern","AIETA","San Francisco, CA 94107 (South Of Market area)","$15 an hour","http://www.indeed.com/rc/clk?jk=b06c2c8e788b6d2f&fccid=838e55215b8d9dd7&vjs=3"
"Data Scientist 2","Oracle","Redwood City, CA","","http://www.indeed.com/rc/clk?jk=7f12a5f2c8ead856&fccid=cd22d01053af7669&vjs=3"
"Data Scientist","Bolt","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=891c5ae5d3a7f7d3&fccid=2472edbe03e34796&vjs=3"
"Data Scientist","Plaid","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=b148d57f2806969c&fccid=f10da5bc56554201&vjs=3"
"Data Analyst","Blend Labs","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=8f7e24e7a256fcd3&fccid=c0222312b34b096a&vjs=3"
"Economist, Advertising Science","Pandora Media, Inc.","Oakland, CA","","http://www.indeed.com/rc/clk?jk=258931ce3c0ef6d1&fccid=969588d3048aa92a&vjs=3"
"Data Analyst - San Francisco Bay, California","Averna","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=cdba168634c1b4e6&fccid=4925e167fdc076db&vjs=3"
"Data Science and Analytics - Summer 2019 Internship","LendingHome","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=b35eed43bceb8f29&fccid=20c6788726ddcb5b&vjs=3"
"Data Scientist","Formation","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=39f7d4fe5761cbce&fccid=dd616958bd9ddc12&vjs=3"
"Customer Care Data Specialist","Rodan and Fields, LLC","San Francisco, CA 94103 (South Of Market area)","","http://www.indeed.com/rc/clk?jk=e35c2038628aebf9&fccid=9d8ace9981c9ff45&vjs=3"
"Software Engineer - Python","TrueAccord","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=1cd49565aee4dfa7&fccid=210bcab0885b7dd3&vjs=3"
"Onsite Coordinator","Ergeon","Hayward, CA","","http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFLW3Olgzq1AyhS8S-_L4J__MTsp5XJSQgQ5jlegEZuRov_3ExUZbJ_MW6ZWiq-LSNc6tIjiLOScCe61IVvheGuRKPeZlHc9po2ZPF_3NHtviDPPOx59aiGEMhEYX1__q1p4C1S2AI5woMvXPaUGmohJjS4ZvaIZRxa8vWb171eYv1YG5h-fzyUAK3Mbyvnbn8zIzI6Ct17RGPUHVNLHHOhhaLEpCDObaER3Z1MH-qie9BGsDNt0xYqIVpwyl0ojamFMaBew6yk6OZubVFPCMMUYm30FN0sOVOcLY78Q5rSumZw96L4iTOCq2ea68v5SIxs8ICT5GTW_C3sI0Q7w03J6ThpchtqiQi8lnR5p4dYD7_XMMGJFQFK8j3QzX0Af-B4jki5RfbS3-VP4fMb-g-o1j013eIUVncWKjKsNP7iK0dLnTPqlZOBJX0IXpb1yGENVrNDxmvzvJkj-Vbss72uhfHm0iGOpMDNyyqVREti2uHfCgOlvqHzTRd_UtumXyMwMetcNNRyzC52TfhOQx2JibfQSx8zFgwDKc4XkghhfkRs2dZ1W9fZe7pIwJPxZR8Bu9NubfKp3hRFD-OKW6AYaKOYciBOE7FvYS9blpyOkp8qCO5eziJPCsxc2XBTn2ztNiEGEmq4Lzyx3zvfmLCBb4DTlir1RQ_YeZNdd8U-SVRcS8eAHOR1iPnzzymWC8j-pH3quVrLn5Gy3s-xj2ELTFpwbyjroHXxAmeXt2GK4DrQbw33iocCMEa6S-diEpurW2Bbr6VK7Ax6toK9xi2&vjs=3&p=3&sk=&fvj=1"
"Part-time instructor of Statistics for Data Science and Machine Learning","Kaplan","San Francisco, CA 94105 (Financial District area)","","http://www.indeed.com/rc/clk?jk=70ff1a8174eaf3e8&fccid=4ffdd90de5b0ef8f&vjs=3"
"Part-time instructor of Statistics for Data Science and Machine Learning","Kaplan Test Prep","San Francisco, CA 94105 (Financial District area)","","http://www.indeed.com/rc/clk?jk=64816ab722efa4e5&fccid=4ffdd90de5b0ef8f&vjs=3"
"Data Scientist, Deep Learning/Computer Vision","Yummly","Redwood City, CA 94063","","http://www.indeed.com/rc/clk?jk=39a84ada5b7b2d71&fccid=5c70ba888d8ca883&vjs=3"
"Data Engineer - Core Data and Analytics","Samba TV","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=9c685a18952c70d4&fccid=1b1ea228444c6924&vjs=3"
