"Company","Job Title","Location","Salary","URL"
"Chegg","Data Science Intern","San Francisco, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=133198&s=58&guid=00000168a2ff034abc4462a685d99057&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_38745272&cb=1548922848583&jobListingId=3095790159"
"Huawei Technologies","Intern, Data Science","Mountain View, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=136264&s=58&guid=00000168a2ff034abc4462a685d99057&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_2d97d750&cb=1548922848586&jobListingId=3094882881"
"Lyft","Data Scientist Intern (2019)","San Francisco, CA","$91k-$125k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=133581&s=58&guid=00000168a2ff034abc4462a685d99057&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&aa=1&ea=1&cs=1_847ea12c&cb=1548922848589&jobListingId=3012777460"
"Metromile","Data Scientist","San Francisco, CA","$145k-$196k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=410287&s=58&guid=00000168a2ff034abc4462a685d99057&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&aa=1&ea=1&cs=1_c19a8b1c&cb=1548922848590&jobListingId=3005450351"
"Proofpoint","Data Scientist -  College Grad","Sunnyvale, CA","$128k-$179k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=135088&s=58&guid=00000168a2ff034abc4462a685d99057&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_787a30fb&cb=1548922848591&jobListingId=3042962018"
"Sonder","Data Science / Machine Learning Intern","San Francisco, CA","$72k-$102k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=160631&s=58&guid=00000168a2ff034abc4462a685d99057&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_accd57bd&cb=1548922848593&jobListingId=3081147405"
"LendingHome","Data Science and Analytics - Summer 2019 Internship","San Francisco, CA","$54k-$87k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=396218&s=149&guid=00000168a2ff64d4b3505532bbad5870&src=GD_JOB_AD&t=SRFJ&extid=4&exst=EL&ist=&ast=EL&vt=w&slr=true&aa=1&ea=1&cs=1_b0302bfa&cb=1548922873496&jobListingId=2928423746"
"Twitter","Data Engineer, Data Science","San Francisco, CA","$159k-$182k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=4120&s=58&guid=00000168a2ff64d4b1ba6c3137bd6cbd&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_8c3dae4e&cb=1548922873500&jobListingId=2900171039"
"Twitter","Product Data Scientist - Ads Data Science","San Francisco, CA","$140k-$189k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=283198&s=58&guid=00000168a2ff64d4b1ba6c3137bd6cbd&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_1333d082&cb=1548922873502&jobListingId=3085137600"
"Etsy","Data Science Internship, Summer","San Francisco, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=85944&s=58&guid=00000168a2ff64d4b1ba6c3137bd6cbd&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_6ce36c89&cb=1548922873505&jobListingId=2996626537"
"Kohl's","Data Science Machine Learning Engineer","Milpitas, CA","$142k-$192k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=134340&s=58&guid=00000168a2ff64d4b1ba6c3137bd6cbd&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_43b6c6d8&cb=1548922873508&jobListingId=2844823194"
"Autodesk","Intern, Data Science","San Francisco, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=132953&s=58&guid=00000168a2ff64d4b1ba6c3137bd6cbd&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_cb3ee8f8&cb=1548922873510&jobListingId=3052748275"
"Snowflake","Junior Data Analyst - Sales Operations","San Mateo, CA","$60k-$98k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=186584&s=58&guid=00000168a2ff64d4b1ba6c3137bd6cbd&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_a2853580&cb=1548922873511&jobListingId=3049555461"
"Healthline Media","Data Engineer","San Francisco, CA","$122k-$162k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=373607&s=58&guid=00000168a2ff64d4b1ba6c3137bd6cbd&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_e7b17c19&cb=1548922873517&jobListingId=2981893206"
"Uber","Product Analyst - Consumer Data Science","San Francisco, CA","$70k-$113k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=134571&s=58&guid=00000168a2ff64d4b1ba6c3137bd6cbd&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_ea78f5a6&cb=1548922873519&jobListingId=2949952741"
"Mystery Science","Data Scientist","San Francisco, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=4120&s=58&guid=00000168a2ff64d4b1ba6c3137bd6cbd&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_db7d68ea&cb=1548922873520&jobListingId=3083253267"
"Indeed Prime","Data Scientist","San Francisco, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=224&ao=437639&s=58&guid=00000168a2ff64d4b1ba6c3137bd6cbd&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_1935f7d7&cb=1548922873523&jobListingId=3042963552"
"Salesforce","Summer 2019 Intern - Data Science","San Francisco, CA","$63k-$98k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=225&ao=133319&s=58&guid=00000168a2ff64d4b1ba6c3137bd6cbd&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_c46de29b&cb=1548922873524&jobListingId=3099463438"
"Walmart Stores","Data Science Internship Summer","San Bruno, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=228&ao=232780&s=58&guid=00000168a2ff64d4b1ba6c3137bd6cbd&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_473aba5c&cb=1548922873527&jobListingId=3071558789"
"TaskRabbit","Data Scientist","San Francisco, CA","$149k-$204k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=301&ao=8095&s=58&guid=00000168a2ffa5218039bb52b9e5b71e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&aa=1&ea=1&cs=1_016cc456&cb=1548922889969&jobListingId=2803340470"
"Zymergen","Engineering Intern, Software & Data Science","Emeryville, CA","$60k-$81k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=306&ao=283198&s=58&guid=00000168a2ffa5218039bb52b9e5b71e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_a78ca087&cb=1548922889973&jobListingId=3089018627"
"Zynga","Data Scientist, Marketing Analytics","San Francisco, CA","$142k-$191k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=307&ao=136007&s=58&guid=00000168a2ffa5218039bb52b9e5b71e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_5ec69be8&cb=1548922889975&jobListingId=3082880059"
"Agari","Data Engineer","Foster City, CA","$161k-$217k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=308&ao=363230&s=58&guid=00000168a2ffa5218039bb52b9e5b71e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&aa=1&ea=1&cs=1_8559a66e&cb=1548922889976&jobListingId=2924571471"
"Samsung Research America","2019 Research intern-Digital Health Lab","Mountain View, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=309&ao=458043&s=58&guid=00000168a2ffa5218039bb52b9e5b71e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&aa=1&ea=1&cs=1_a29d9a64&cb=1548922889977&jobListingId=3012818567"
"Etsy","Data Science Internship, Summer 2019","San Francisco, CA","$56k-$82k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=323&ao=133756&s=58&guid=00000168a2ffa5218039bb52b9e5b71e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_d0cfb599&cb=1548922889992&jobListingId=2998052787"
"Microsoft","Research Intern Data Sciences","Sunnyvale, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=325&ao=37049&s=58&guid=00000168a2ffa5218039bb52b9e5b71e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_87083fea&cb=1548922889995&jobListingId=3076397205"
"Magnum Search Group, Inc","Data Analyst","San Mateo, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=327&ao=4321&s=58&guid=00000168a2ffa5218039bb52b9e5b71e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&aa=1&ea=1&cs=1_8b211b53&cb=1548922889998&jobListingId=3049542545"
"University Of California San Francisco","Data Science Specialist","San Francisco, CA","$40k-$62k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=329&ao=352789&s=58&guid=00000168a2ffa5218039bb52b9e5b71e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_9cb25206&cb=1548922890000&jobListingId=3083237166"
"Genentech","Intern - Development Sciences - Bioinformatics","South San Francisco, CA","$66k-$96k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=330&ao=133283&s=58&guid=00000168a2ffa5218039bb52b9e5b71e&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_fe601cfa&cb=1548922890002&jobListingId=3093456978"
"DoorDash","Software Engineer, Data Science","San Francisco, CA","$109k-$180k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=401&ao=398857&s=149&guid=00000168a2ffdbdbaa428924ae6596c4&src=GD_JOB_AD&t=SRFJ&extid=4&exst=EL&ist=&ast=EL&vt=w&slr=true&aa=1&ea=1&cs=1_0720bac5&cb=1548922903975&jobListingId=1935628173"
"Facebook","Auction and Delivery Data Science Intern, Marketing Science","Menlo Park, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=401&ao=132920&s=58&guid=00000168a2ffdbdb91a98009c3a6fe30&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_73fa88f7&cb=1548922903977&jobListingId=3001159675"
"Perfect Price","Engineering/Data Science FullTime/Intern","San Francisco, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=403&ao=148364&s=58&guid=00000168a2ffdbdb91a98009c3a6fe30&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_f9ac23ff&cb=1548922903979&jobListingId=2899856056"
"KLA-Tencor","Application Software and Data Science Intern","Milpitas, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=404&ao=4120&s=58&guid=00000168a2ffdbdb91a98009c3a6fe30&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_263a0953&cb=1548922903979&jobListingId=3039967703"
"6sense","Data Scientist","San Francisco, CA","$134k-$181k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=405&ao=8095&s=58&guid=00000168a2ffdbdb91a98009c3a6fe30&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_1b3badbb&cb=1548922903980&jobListingId=1518820388"
"J.P. Morgan","Commercial Banking Data Science, Analytics & Insights","Palo Alto, CA","$78k-$108k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=407&ao=128418&s=58&guid=00000168a2ffdbdb91a98009c3a6fe30&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_65fdaf36&cb=1548922903982&jobListingId=3095905274"
"Walmart eCommerce","Data Science Internship Summer","San Bruno, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=411&ao=133051&s=58&guid=00000168a2ffdbdb91a98009c3a6fe30&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_dabb4d47&cb=1548922903987&jobListingId=3071434926"
"IdentityMind","Data Scientist","Palo Alto, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=412&ao=37049&s=58&guid=00000168a2ffdbdb91a98009c3a6fe30&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_b90eb94b&cb=1548922903988&jobListingId=3017031216"
"Cerego LLC","Data Scientist","San Francisco, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=413&ao=14295&s=58&guid=00000168a2ffdbdb91a98009c3a6fe30&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&aa=1&ea=1&cs=1_c84f001f&cb=1548922903989&jobListingId=3101562887"
"Aktana","Data Scientist","San Francisco, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=417&ao=7438&s=58&guid=00000168a2ffdbdb91a98009c3a6fe30&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&aa=1&ea=1&cs=1_144260c1&cb=1548922903994&jobListingId=2885717696"
"Uber","Data Science Software Engineer, Self Driving","San Francisco, CA","$110k-$172k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=419&ao=134571&s=58&guid=00000168a2ffdbdb91a98009c3a6fe30&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_fef8c6da&cb=1548922903996&jobListingId=3048239904"
"SPIRE (California)","Data Science Engineer","San Francisco, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=422&ao=4120&s=58&guid=00000168a2ffdbdb91a98009c3a6fe30&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&aa=1&ea=1&cs=1_7c6f7937&cb=1548922904000&jobListingId=2699391232"
"Point72 Ventures","VP, Data Science","Palo Alto, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=426&ao=160631&s=58&guid=00000168a2ffdbdb91a98009c3a6fe30&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&aa=1&ea=1&cs=1_1a511724&cb=1548922904004&jobListingId=3036714835"
"Guideline, Inc.","Vice President of Engineering","San Mateo, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=428&ao=160631&s=58&guid=00000168a2ffdbdb91a98009c3a6fe30&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&aa=1&ea=1&cs=1_b058fa79&cb=1548922904006&jobListingId=3096796716"
"University of California Berkeley","Postdoctoral Scholar - Data Science Program - School of Information","Berkeley, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=502&ao=4120&s=58&guid=00000168a300216894345bfe44382971&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_05ed026a&cb=1548922921748&jobListingId=2707255629"
"Esurance","Data Scientist","San Francisco, CA","$89k-$123k(Glassdoor Est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=507&ao=314855&s=58&guid=00000168a300216894345bfe44382971&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_78095458&cb=1548922921753&jobListingId=3071269183"
"Second Measure","Data Scientist","San Mateo, CA","","https://www.glassdoor.com/partner/jobListing.htm?pos=508&ao=4120&s=58&guid=00000168a300216894345bfe44382971&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_55c06e54&cb=1548922921754&jobListingId=3001587514"
"South San Francisco, CA","Aita Consulting Services","$137k-$188k(Glassdoor Est.)","","https://www.glassdoor.com/partner/jobListing.htm?pos=512&ao=372858&s=58&guid=00000168a300216894345bfe44382971&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_ae2b8a01&cb=1548922921758&jobListingId=3101940092"
